Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2018,"Kyle Gibson","MIN",196.2,826,8.1915,3.6153,2.2658,1.0525,0.2167,0.0956,0.1211,0.241473396,1.3017,0.2847,0.755,4.127153948755128,3.908511648059044,10123
2018,"Mike Leake","SEA",185.2,784,5.7684,1.6481,3.5,1.1149,0.1518,0.0434,0.1084,0.280108254,1.298,0.3056,0.6937,4.135917592755127,4.153398180111743,10130
2018,"Stephen Strasburg","WSN",130,544,10.8,2.6308,4.1053,1.2462,0.2868,0.0699,0.2169,0.239837398,1.2,0.3086,0.7565,3.622590878755127,3.283635004552511,10131
2018,"Tyler Skaggs","LAA",125.1,533,9.2633,2.8723,3.225,1.0053,0.242,0.075,0.167,0.262396694,1.3324,0.3275,0.7349,3.6317972237551266,3.787358770260737,10190
2018,"Zack Wheeler","NYM",182.1,744,8.8355,2.7148,3.2545,0.691,0.2406,0.0739,0.1667,0.224550898,1.1243,0.2793,0.7459,3.2488038047551266,3.8086455720304593,10310
2018,"Chad Bettis","COL",109,470,6.2752,3.7156,1.6889,1.4037,0.1617,0.0957,0.066,0.264563106,1.4128,0.2805,0.693,5.142703793755127,4.736491092055216,10587
2018,"Chris Sale","BOS",158,617,13.5,1.9367,6.9706,0.6266,0.3841,0.0551,0.329,0.180530973,0.8608,0.2835,0.8247,1.9775081147551272,2.305929516350167,10603
2018,"Mike Foltynewicz","ATL",183,744,9.9344,3.3443,2.9706,0.8361,0.2715,0.0914,0.1801,0.195195195,1.082,0.2506,0.7714,3.374167171755127,3.77300590117121,10811
2018,"Jacob deGrom","NYM",217,835,11.1567,1.9078,5.8478,0.4147,0.3222,0.0551,0.2671,0.195876288,0.9124,0.2812,0.8201,1.9859372107551276,2.604639586874967,10954
2018,"Vince Velasquez","PHI",145.2,625,9.8856,3.5835,2.7586,0.9886,0.256,0.0928,0.1632,0.249544626,1.3387,0.3159,0.6645,3.751441297755127,4.103639641908957,11189
2018,"Jose Quintana","CHC",174.1,739,8.1568,3.5105,2.3235,1.2906,0.2138,0.092,0.1218,0.246200607,1.3193,0.2825,0.7677,4.434475222755127,4.180792000956919,11423
2018,"Robbie Ray","ARI",123.2,526,12.0081,5.0943,2.3571,1.3827,0.3137,0.1331,0.1806,0.216035634,1.3504,0.2921,0.8047,4.309300085755127,3.7677318690136086,11486
2018,"Aaron Sanchez","TOR",105,474,7.3714,4.9714,1.4828,0.9429,0.1814,0.1224,0.0591,0.261728395,1.5619,0.3045,0.7005,4.742004797755127,4.984526132118134,11490
2018,"Jose Urena","MIA",174,712,6.7241,2.6379,2.549,0.9828,0.1826,0.0716,0.111,0.2421875,1.1839,0.272,0.7315,4.1725466697551274,4.31919317171834,11589
2018,"Jameson Taillon","PIT",191,785,8.4346,2.1675,3.8913,0.9424,0.228,0.0586,0.1694,0.246217331,1.178,0.2978,0.798,3.4647173387551273,3.5821319035054504,11674
2018,"Carlos Martinez","STL",100.1,445,8.7907,4.3954,2,0.4485,0.2202,0.1101,0.1101,0.23607427,1.3754,0.2979,0.7324,3.6494246727551265,4.450177051694734,11682
2018,"Matt Harvey","2 Tms",149,634,7.7315,1.9329,4,1.5101,0.2019,0.0505,0.1514,0.269624573,1.2752,0.3002,0.7205,4.389240336755127,4.081340683406632,11713
2018,"Noah Syndergaard","NYM",154.1,644,9.0389,2.2743,3.9744,0.5248,0.2407,0.0606,0.1801,0.25,1.2117,0.3203,0.7663,2.804680850755127,3.2879683288500026,11762
2018,"James Paxton","SEA",160.1,645,11.6757,2.3576,4.9524,1.2911,0.3225,0.0651,0.2574,0.224080267,1.0977,0.2992,0.7597,3.235896507755127,3.0192129851419716,11828
2018,"Kyle Hendricks","CHC",199,812,7.2814,1.9899,3.6591,0.995,0.1983,0.0542,0.1441,0.246979865,1.1457,0.2813,0.7517,3.7791428697551273,3.8690784381262624,12049
2018,"Trevor Bauer","CLE",171.1,703,11.5039,2.9942,3.8421,0.4728,0.3115,0.0811,0.2304,0.209191759,1.1031,0.3007,0.7929,2.443153445755127,3.1387622910312842,12703
2018,"Sonny Gray","NYY",113,506,8.6018,3.9823,2.16,1.0354,0.2134,0.0988,0.1146,0.268623024,1.4956,0.3232,0.6844,4.258397549755127,4.180580422334966,12768
2018,"Sam Gaviglio","TOR",119.1,530,7.4665,2.7905,2.6757,1.5838,0.1868,0.0698,0.117,0.286307053,1.4665,0.3162,0.6864,4.795131085755127,4.182103766141308,12778
2018,"Mike Clevinger","CLE",200,810,9.315,3.015,3.0896,0.945,0.2556,0.0827,0.1728,0.222523744,1.155,0.2798,0.7977,3.521052417755127,3.8572159688174725,12808
2018,"Tyler Anderson","COL",176,737,8.3864,3.017,2.7797,1.5341,0.2225,0.0801,0.1425,0.2481203,1.2727,0.2807,0.7189,4.570143326755127,4.212301221320575,12880
2018,"Dylan Bundy","BAL",171.2,750,9.6466,2.8311,3.4074,2.1495,0.2453,0.072,0.1733,0.274452554,1.4097,0.3161,0.6925,5.170760764755128,4.278750099176858,12917
2018,"Joe Musgrove","PIT",115.1,486,7.8035,1.7948,4.3478,0.9364,0.2058,0.0473,0.1584,0.25279642,1.1792,0.2945,0.6918,3.585908031755127,3.9231097037082407,12970
2018,"Anthony DeSclafani","CIN",115,484,8.4522,2.3478,3.6,1.8783,0.2231,0.062,0.1612,0.266365688,1.287,0.2938,0.7045,4.830617634755127,3.855360477514889,13050
2018,"Wei-Yin Chen","MIA",133.1,572,7.4925,3.1725,2.3617,1.2825,0.1941,0.0822,0.1119,0.256360078,1.335,0.2843,0.6824,4.428552733755128,4.731410513389662,13071
2018,"Gerrit Cole","HOU",200.1,799,12.3993,2.8752,4.3125,0.8536,0.3454,0.0801,0.2653,0.197786998,1.0333,0.2864,0.7791,2.701817732755127,3.0352963334824103,13125
2018,"Eduardo Rodriguez","BOS",123.1,527,9.9973,3.1378,3.186,1.0946,0.26,0.0816,0.1784,0.23899371,1.273,0.3018,0.7714,3.6637552557551274,3.9173061500583506,13164
2018,"Michael Fulmer","DET",132.1,558,7.4811,3.1285,2.3913,1.2922,0.1971,0.0824,0.1147,0.253968253,1.3149,0.2884,0.6824,4.5212542707551275,4.289729612788882,13218
2018,"Ross Stripling","LAD",106.1,438,10.0721,1.3542,7.4375,1.5235,0.2717,0.0365,0.2352,0.262529832,1.185,0.3239,0.8448,3.6030588257551273,2.8624800911478037,13273
2018,"Steven Matz","NYM",154,654,8.8831,3.3896,2.6207,1.461,0.2324,0.0887,0.1437,0.23183391,1.2468,0.2665,0.7485,4.622091378755127,4.131142546430037,13361
2018,"Felix Pena","LAA",90,376,8.3,2.8,2.9643,1,0.2207,0.0745,0.1463,0.241887905,1.2222,0.2869,0.72,3.8277190837551274,3.9247820648882126,13403
2018,"Marcus Stroman","TOR",102.1,449,6.772,3.1661,2.1389,0.7915,0.1715,0.0802,0.0913,0.283251231,1.4756,0.3262,0.6054,3.913495658755127,3.835384199060329,13431
2018,"Blake Snell","TBR",180.2,700,11.0092,3.1882,3.4531,0.797,0.3157,0.0914,0.2243,0.177777777,0.9742,0.2412,0.8797,2.9451852997551273,3.1560191139957654,13543
2018,"Jakob Junis","KCR",177,758,8.339,2.1864,3.814,1.6271,0.2164,0.0567,0.1596,0.264534883,1.2712,0.2976,0.748,4.641278405755127,4.129234193627443,13619
2018,"John Gant","STL",97.1,414,7.4897,4.4384,1.6875,0.7397,0.1957,0.1159,0.0797,0.219444444,1.3048,0.2582,0.7131,4.1062582207551275,4.581912225537348,13684
