"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Zack Godley","Diamondbacks",".323","1.74","22.9 %","49.0 %","28.1 %","10.0 %","11.4 %","98","4.97","1136","1849","2985","44.6 %","35.0 %","20.4 %","19.0 %","42.5 %","38.6 %","14862"
"Miles Mikolas","Cardinals",".279","1.73","22.2 %","49.3 %","28.5 %","9.8 %","9.2 %","131","5.88","923","2081","3004","39.8 %","32.3 %","28.0 %","18.9 %","48.6 %","32.6 %","9803"
"Sonny Gray","Reds",".323","1.68","22.4 %","48.7 %","29.0 %","8.2 %","13.4 %","77","6.13","744","1190","1934","36.7 %","37.0 %","26.4 %","17.3 %","47.5 %","35.2 %","12768"
"Aaron Nola","Phillies",".251","1.67","19.1 %","50.6 %","30.3 %","12.5 %","10.6 %","91","3.86","1049","2163","3212","43.3 %","35.1 %","21.6 %","22.3 %","52.6 %","25.1 %","16149"
"Mike Leake","Mariners",".306","1.66","21.9 %","48.7 %","29.4 %","7.7 %","12.6 %","100","4.85","901","1897","2798","47.8 %","32.7 %","19.6 %","16.5 %","47.8 %","35.7 %","10130"
"Clayton Kershaw","Dodgers",".273","1.62","22.5 %","47.9 %","29.6 %","7.5 %","12.7 %","97","5.41","753","1611","2364","49.4 %","30.5 %","20.1 %","20.4 %","43.5 %","36.2 %","2036"
"Francisco Liriano","Pirates",".284","1.60","21.6 %","48.3 %","30.1 %","6.0 %","16.4 %","68","4.65","933","1302","2235","39.3 %","31.4 %","29.3 %","16.6 %","49.2 %","34.2 %","3201"
"Walker Buehler","Dodgers",".241","1.59","18.2 %","50.3 %","31.5 %","7.5 %","10.4 %","74","4.89","701","1437","2138","34.8 %","36.6 %","28.6 %","23.6 %","41.9 %","34.5 %","19374"
"German Marquez","Rockies",".311","1.59","23.0 %","47.3 %","29.8 %","7.8 %","15.7 %","138","6.34","1061","2060","3121","36.9 %","35.4 %","27.7 %","17.5 %","45.2 %","37.3 %","15038"
"Michael Wacha","Cardinals",".249","1.58","29.5 %","43.2 %","27.4 %","7.6 %","13.6 %","55","5.87","547","872","1419","48.0 %","29.3 %","22.8 %","15.9 %","41.5 %","42.7 %","14078"
"Charlie Morton","Rays",".283","1.56","22.2 %","47.4 %","30.3 %","8.9 %","14.5 %","105","5.66","977","1711","2688","40.2 %","34.9 %","24.9 %","21.1 %","49.2 %","29.8 %","4676"
"Jon Gray","Rockies",".322","1.56","22.2 %","47.5 %","30.3 %","10.7 %","18.1 %","111","5.80","1008","1792","2800","39.5 %","32.3 %","28.1 %","16.0 %","47.9 %","36.1 %","14916"
"Sam Gaviglio","Blue Jays",".316","1.56","19.1 %","49.3 %","31.6 %","5.0 %","17.4 %","65","4.90","719","1245","1964","47.6 %","34.3 %","18.2 %","17.7 %","49.1 %","33.3 %","12778"
