"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Nomar Mazara","Rangers",".293","1.36","19.3 %","46.5 %","34.2 %","8.8 %","13.6 %","11","5.5 %","0","0.0 %","35.4 %","38.8 %","25.8 %","20.9 %","46.5 %","32.6 %","14553"
"Maikel Franco","Phillies",".234","1.24","17.9 %","45.4 %","36.7 %","16.3 %","13.5 %","7","3.2 %","0","0.0 %","46.2 %","32.0 %","21.9 %","20.8 %","48.3 %","30.9 %","12179"
"Brett Gardner","Yankees",".300","1.34","22.3 %","44.5 %","33.2 %","7.7 %","13.5 %","18","8.6 %","4","40.0 %","37.3 %","35.4 %","27.3 %","20.0 %","51.3 %","28.8 %","9927"
"Miguel Cabrera","Tigers",".292","1.21","27.3 %","39.8 %","32.9 %","2.5 %","13.4 %","4","2.8 %","0","0.0 %","32.0 %","36.5 %","31.5 %","9.9 %","47.5 %","42.5 %","1744"
"Ian Desmond","Rockies",".345","3.02","16.5 %","62.7 %","20.8 %","9.4 %","13.2 %","15","9.4 %","0","0.0 %","36.1 %","38.8 %","25.2 %","24.8 %","48.1 %","27.1 %","6885"
"Orlando Arcia","Brewers",".317","1.81","19.9 %","51.6 %","28.5 %","11.2 %","12.9 %","20","9.5 %","2","50.0 %","34.6 %","40.4 %","25.1 %","22.9 %","47.0 %","30.2 %","13185"
"Brandon Drury","Blue Jays",".320","1.66","21.8 %","48.8 %","29.4 %","10.9 %","12.9 %","10","6.0 %","0","0.0 %","39.2 %","34.6 %","26.2 %","16.6 %","51.7 %","31.7 %","11615"
"Daniel Murphy","Rockies",".341","0.86","27.6 %","33.5 %","38.9 %","13.4 %","12.8 %","2","1.3 %","0","0.0 %","39.1 %","36.3 %","24.6 %","16.7 %","47.6 %","35.7 %","4316"
"Eduardo Escobar","Diamondbacks",".279","0.74","21.0 %","33.7 %","45.3 %","7.3 %","12.8 %","5","4.1 %","0","0.0 %","41.1 %","33.1 %","25.9 %","16.0 %","52.6 %","31.4 %","6153"
"Enrique Hernandez","Dodgers",".254","1.05","18.7 %","41.6 %","39.7 %","8.0 %","12.6 %","5","5.5 %","0","0.0 %","46.2 %","30.8 %","23.1 %","15.8 %","44.8 %","39.4 %","10472"
